Open,High,Low,Close,Moving Average 200,Moving Average 50,Exp Moving Average 10,Exp Moving Average 20
115,115.01,114.86,114.91,114.52,114.83,114.94,114.86
114.91,114.97,114.82,114.9,114.52,114.84,114.93,114.86
114.9,114.94,114.8,114.92,114.52,114.84,114.93,114.87
114.92,115.1,114.9,115.09,114.53,114.84,114.96,114.89
115.09,115.18,115.02,115.13,114.53,114.84,114.99,114.91
115.13,115.29,115.1,115.27,114.53,114.85,115.04,114.94
115.26,115.42,115.26,115.34,114.54,114.85,115.09,114.98
115.34,115.47,115.34,115.41,114.54,114.86,115.15,115.02
115.41,115.43,115.25,115.35,114.54,114.86,115.19,115.05
115.35,115.39,115.28,115.3,114.55,114.87,115.21,115.08
115.3,115.37,115.28,115.31,114.55,114.88,115.23,115.1
115.31,115.47,115.3,115.35,114.55,114.89,115.25,115.12
115.35,115.46,115.34,115.43,114.55,114.89,115.28,115.15
115.43,115.65,115.4,115.63,114.56,114.91,115.35,115.2
115.64,115.71,115.49,115.58,114.56,114.92,115.39,115.24
115.59,115.62,115.41,115.47,114.56,114.94,115.4,115.26
115.47,115.47,115.3,115.38,114.56,114.95,115.4,115.27
115.38,115.38,115.21,115.24,114.56,114.96,115.37,115.27
115.24,115.38,115.22,115.36,114.56,114.97,115.37,115.28
115.37,115.44,115.31,115.4,114.57,114.98,115.37,115.29
115.4,115.47,115.4,115.44,114.57,114.99,115.39,115.3
115.44,115.54,115.33,115.36,114.58,114.99,115.38,115.31
115.36,115.63,115.36,115.58,114.59,115,115.42,115.33
115.59,115.68,115.58,115.61,114.6,115.02,115.45,115.36
115.61,115.68,115.56,115.66,114.61,115.04,115.49,115.39
115.66,115.86,115.64,115.86,114.62,115.07,115.56,115.43
115.86,115.88,115.7,115.81,114.63,115.07,115.6,115.47
115.81,115.81,115.68,115.77,114.64,115.09,115.63,115.5
115.77,115.78,115.61,115.65,114.65,115.1,115.64,115.51
115.65,115.71,115.55,115.65,114.66,115.13,115.64,115.52
115.65,115.84,115.63,115.82,114.67,115.15,115.67,115.55
115.82,115.83,115.7,115.73,114.68,115.17,115.68,115.57
115.74,115.92,115.74,115.9,114.69,115.21,115.72,115.6
